# Woo (WOrdlist generator Object-oriented verb section) data file
#
# Copyright (C) 2000-2002 Nadav Har'El, Dan Kenigsberg
#
# options for each word:
בזז פ,קל_אפעול,שמור_עע
בזק פ,קל_אפעול,הפ
בחן פ,קל_אפעל,נפ,הפ,הו
בחר פ,קל_אפעל,נפ
בטח פ,פי,פו,הפ,הו
בטח פ,קל_אפעל,אין_שם_פעולה
בטל פ,פי+,פו,הת
בים פ,פי,פו,שמור_עו
ביש פ,פי,פו,הת,שמור_עו
בכה פ,פי,אין_שם_פעולה
בכה פ,קל_אפעל,אין_פעול
בלבל פ,פי,פו,הת
בלגן פ,פו,הת
בלגן פ,פי,אין_שם_פעולה
בלה פ,פי,הת
בלה פ,קל_אפעל,בינוני_שמן
בלט פ,קל_אפעול,אין_פעול,הפ,הו,הת
בלש פ,קל_אפעול,אין_פעול
בנה פ,נפ,אין_שם_פעולה
בנה פ,קל_אפעל
בסס פ,פי+,פו,הת,שמור_עע
בער פ,קל_אפעל,אין_פעול,אין_שם_פעולה,הפ+,הו
בצע פ,פי,פו,הת,קל_אפעל,נפ
בקר פ,פי+,פו 
בקש פ,פי+,הת
ברג פ,הפ,הו,הת
ברח פ,קל_אפעל,אין_פעול,הפ,הו
ברך פ,הת
ברך פ,פי,פו,אין_שם_פעולה
ברר פ,קל_אפעול,בינוני_שומר
ברר פ,קל_אפעל,שמור_עע,פי,פו,הת
בשל פ,הפ,הת,פי,פו
בשר פ,פי,פו,הת
גאל פ,קל_אפעל,אין_שם_פעולה,אין_פעול # יש, ויש אפילו ישוב גאולי תימן
גבה פ,הפ,הו,שמור_מפיק
גבה פ,נפ,אין_שם_פעולה
גבה פ,קל_אפעל,פי,פו,הת
גבה פ,קל_אפעל,שמור_מפיק,אין_שם_פעולה
גבל פ,הפ,הו
גבל פ,קל_אפעול,אין_שם_פעולה,אין_פעול
גבן פ,פי,פו
גבר פ,קל_אפעל,אין_פעול,הפ,הו,הת
גבש פ,פי,פו,הת
גדד פ,הת
גדל פ,פי,פו,הפ,הו
גדל פ,קל_אפעל,בינוני_שמן,ציווי=גדל
גדר פ,פי,פו,הת,הפ,הו
גדש פ,הפ,אין_שם_פעולה #רק עבור הגדיש את הסאה
גדש פ,קל_אפעל,אין_שם_פעולה
גהץ פ,פי,פו
גוב פ,הפ,אין_שם_פעולה
גון פ,פי,פו,הת,שמור_עו
גוע פ,קל_אפעול,שמור_עו,שם_פעולה=גוויעה,ציווי=גווע # TODO דרך מכוערת ביותר לקבל את הנטייה!!
גור פ,הת
גור פ,קל_אפעול,אין_שם_פעולה
גור פ,קל_אפעל,אין_שם_פעולה
גזל פ,נפ,אין_שם_פעולה
גזל פ,קל_אפעול
גזם פ,הפ,הו
גזם פ,קל_אפעול,שם_פעולה=גיזום
גזר פ,נפ,אין_שם_פעולה
גזר פ,קל_אפעול
גיל פ,קל_אפעל # TODO האם להשאיר את הדבר הזה?
גיס פ,פי,פו,הת,שמור_עו
גלגל פ,פי,פו,הת,גם_נת
גלה פ,פי,הת,גם_נת
גלה פ,קל_אפעל,נפ,אין_שם_פעולה
גלל פ,נפ,פי,הת,אין_שם_פעולה
גלל פ,נפ,שמור_עע,אין_שם_פעולה
גלל פ,קל_אפעול,שמור_עע,אין_פעול
גלם פ,פי,פו,הת
גלף פ,פי,פו
גלש פ,קל_אפעול,אין_פעול,הת,הפ,הו
גמגם פ,פי,פו
גמל פ,נפ,אין_שם_פעולה
גמל פ,קל_אפעול,אין_פעול
גמר פ,נפ,אין_שם_פעולה
גמר פ,קל_אפעול,פי,פו
גנב פ,קל_אפעול,הפ,הו,הת
גנב פ,נפ,אין_שם_פעולה
גנה פ,פי,פו
גנז פ,קל_אפעול
גנן פ,פי,הת,הפ,הו
גנן פ,פי,שמור_עע  #to garden
געל פ,הפ,נפ
געש פ,קל_אפעל,אין_פעול,אין_שם_פעולה
גרה פ,פי,פו,הת
גרם פ,קל_אפעול,נפ #,הת #TODO רק לרופאי עצמות
גרע פ,קל_אפעל,נפ
גרף פ,קל_אפעול,נה
גרר פ,קל_אפעול,אין_פעול,נפ,שמור_עע
גרש פ,פי,פו,הת
גשם פ,הפ,הו,הת
גשר פ,פי
גשש פ,הת
גשש פ,פי,שמור_עע
דאג פ,הפ,הו,אין_שם_פעולה
דאג פ,קל_אפעל,שם_פעולה=דאגה,אין_פעול
דבב פ,פי
דבב פ,פי,פו,שמור_עע
דבק פ,נפ,הפ,הו
דבק פ,קל_אפעל,אין_שם_פעולה
דבק פ,קל_אפעל,בינוני_שמן,אין_שם_פעולה,אין_פעול
דבר פ,נפ,פי,פו,הפ,הפ,הו
דגל פ,קל_אפעול,אין_שם_פעולה,
דגש פ,הפ,הו
דדה פ,פי
דהם פ,הפ,נפ
דהר פ,קל_אפעל,אין_שם_פעולה,אין_פעול
דוח פ,פי,פו,שמור_עו
דון פ,קל_אפעל,נפ,אין_שם_פעולה
דחה פ,נפ,אין_שם_פעולה
דחה פ,קל_אפעל
דחס פ,קל_אפעל,נפ
דחף פ,קל_אפעול,נפ
דחף פ,קל_אפעול,ציווי=דחף
דחק פ,קל_אפעל,נפ,הפ,הו
דכא פ,פי,פו
דלל פ,פי,פו,הת,שמור_עע
דלל פ,קל_אפעל,אין_פעול,עתיד_חרוק
דלף פ,קל_אפעול,הפ,הו,אין_פעול
דלק פ,הפ,הו
דלק פ,קל_אפעול,אין_פעול,אין_שם_פעולה,נפ
דמה פ,נפ,פי,פו,הת
דמה פ,קל_אפעל,אין_שם_פעולה
דמיין פ,פי,אין_שם_פעולה
דמם פ,קל_אפעול,אין_פעול,אין_שם_פעולה,שמור_עע
דעך פ,קל_אפעל,אין_פעול
דפס פ,הפ,הו
דפס פ,נפ,אין_שם_פעולה
דפק פ,נפ,אין_שם_פעולה
דפק פ,קל_אפעול,הת
דקדק פ,פי
דרבן פ,פי,פו
דרג פ,פי,פו
דרדר פ,פי,פו,הת
דרך פ,קל_אפעול,נפ,הפ,הו
דרש פ,קל_אפעול,נפ
הגר פ,פי
הדהד פ,פי
הדף פ,נפ,אין_שם_פעולה
הדף פ,קל_אפעול
הדק פ,פי,פו,הת
הוה פ,הת,שמור_עו
הוה פ,פי,שמור_עו,אין_שם_פעולה
הווריד פ,נסתר,הפ ## ורד פ,הפ,שמור_פי # TODO: נרמל פועל זה
היה פ,נסתר,קל_אפעל,אין_בינוני,שמור_עו,אין_פעול,אין_שם_פעולה 
היה פ,נפ,אין_ציווי,אין_עתיד,אין_מקור 
הלכ פ,הת,פי
הלכ פ,קל_אפעל,מקור=ללכת,מקור_מלעילי,אין_פעול,עתיד1=ללך
הלל פ,הת
הלל פ,פי,פו,אין_שם_פעולה,שמור_עע
הלם פ,קל_אפעול
המה פ,קל_אפעל,אין_פעול,אין_שם_פעולה
המם פ,קל_אפעול,אין_שם_פעולה,שמור_עע,אין_בינוני,אין_עתיד,אין_ציווי
המם פ,אין_שם_פעולה,שמור_עע,פי,פו
המר פ,פי
הנה פ,נפ,אין_שם_פעולה
הסס פ,פי,שמור_עע
הפך פ,קל_אפעול,נפ,הת
הפנט פ,פי,פו,הת
הרג פ,נפ,אין_שם_פעולה
הרג פ,קל_אפעול
הרה פ,קל_אפעל,אין_שם_פעולה,אין_פעול
הרהר פ,פי
הרס פ,נפ,אין_שם_פעולה # TODO: מקור=להיהרס ?
הרס פ,קל_אפעול
התל פ,פי
ותר פ,פי
זהה פ,פי,פו,הת,שמור_עע
זהם פ,פי,פו,הת
זהר פ,קל_אפעל,אין_פעול,נפ,הפ,הו
זוז פ,הפ,הו
זוז פ,קל_אפעול,אין_שם_פעולה,אין_פעול
זון פ,הפ,הו
זחל פ,קל_אפעל,אין_פעול,הת
זין פ,פי,פו,הת,שמור_עו
זיף פ,פי,פו,שמור_עו
זכה פ,קל_אפעל,פי,פו,הת,אין_פעול
זכר פ,קל_אפעול+,נפ,הפ+,הו
זלג פ,קל_אפעול,אין_פעול
זלזל פ,פי
זמן פ,פי,פו,הת,הפ,הו
